This file was created by using the 202510 CRSP database.
It contains value- weighted returns for the intersections of  2 ME portfolios
and  3 prior return portfolios.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  PRIOR_RET is from -12 to - 2.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
195207,      9.48,     12.22,     13.32,    147.09,    188.99,    217.70
195208,     10.29,     11.40,     13.57,    152.90,    181.19,    233.67
195209,      9.94,     11.67,     13.44,    140.59,    202.32,    202.98
195210,      9.76,     11.73,     12.70,    130.29,    200.03,    195.18
195211,      9.56,     11.22,     12.42,    102.74,    227.05,    174.19
195212,     10.17,     11.75,     12.84,    100.95,    209.65,    223.83
195301,     10.57,     11.96,     12.89,    115.66,    258.62,    189.33
195302,     10.52,     12.99,     13.19,    131.96,    229.14,    202.87
195303,     10.34,     12.82,     13.76,    137.52,    231.74,    202.77
195304,     10.75,     11.97,     13.27,    192.13,    218.84,    170.74
195305,     10.70,     11.56,     12.73,    181.25,    192.76,    194.76
195306,     10.64,     12.21,     12.38,    203.46,    200.00,    169.68
195307,      9.96,     11.60,     11.89,    208.51,    209.31,    128.71
195308,      9.86,     11.98,     12.23,    202.53,    225.07,    132.00
195309,      9.17,     11.90,     10.95,    137.60,    224.15,    155.43
195310,      9.46,     11.12,     11.15,    116.68,    235.71,    156.99
195311,      9.05,     11.66,     12.15,    118.06,    242.76,    173.41
195312,      9.07,     12.09,     11.88,    114.90,    244.61,    182.32
195401,      8.96,     11.75,     11.80,    118.49,    247.04,    182.25
195402,      9.69,     12.54,     13.04,    101.21,    248.08,    216.05
195403,      9.66,     12.66,     13.25,    117.15,    210.60,    246.67
195404,      9.90,     12.60,     14.29,    116.38,    232.21,    238.36
195405,      9.71,     13.30,     14.13,     97.48,    224.72,    277.13
195406,     10.25,     13.01,     15.78,    100.21,    231.47,    284.25
195407,     10.17,     13.63,     15.21,    110.76,    216.88,    296.17
195408,     10.55,     14.78,     15.92,    118.31,    251.59,    291.78
195409,     10.91,     14.31,     15.63,    147.89,    243.34,    272.61
195410,     11.76,     14.27,     15.32,    218.31,    263.35,    262.50
195411,     12.55,     14.13,     13.72,    226.71,    181.73,    353.08
195412,     13.13,     15.16,     15.68,    245.98,    241.79,    324.82
195501,     14.52,     16.08,     17.86,    267.30,    274.99,    327.05
195502,     14.65,     16.09,     18.17,    251.92,    294.85,    324.88
195503,     15.19,     17.68,     17.40,    263.20,    377.31,    242.22
195504,     15.58,     17.04,     17.69,    286.72,    396.92,    177.94
195505,     16.07,     16.96,     18.12,    310.15,    386.73,    180.22
195506,     15.80,     17.99,     17.20,    280.65,    362.86,    269.54
195507,     16.38,     17.93,     18.21,    304.09,    381.89,    288.67
195508,     16.14,     17.84,     18.95,    236.75,    385.00,    380.54
195509,     16.27,     18.15,     18.84,    238.93,    293.69,    493.77
195510,     16.22,     18.34,     18.25,    262.11,    322.90,    424.79
195511,     16.18,     18.03,     17.65,    235.78,    271.52,    494.41
195512,     17.36,     18.08,     18.75,    223.63,    312.90,    532.89
195601,     17.28,     19.61,     20.09,    167.40,    322.83,    557.61
195602,     16.76,     19.15,     20.14,    154.82,    305.58,    534.00
195603,     17.84,     18.97,     20.72,    158.77,    297.82,    582.09
195604,     18.57,     19.69,     21.34,    164.46,    315.33,    622.04
195605,     18.03,     19.32,     22.02,    160.99,    297.24,    643.21
195606,     18.09,     17.36,     21.41,    169.58,    338.29,    531.28
195607,     17.41,     18.82,     21.07,    260.40,    329.80,    522.54
195608,     18.06,     18.51,     23.26,    272.42,    371.42,    499.34
195609,     18.03,     18.12,     22.73,    252.63,    362.83,    482.17
195610,     16.62,     18.65,     21.65,    285.70,    360.13,    410.11
195611,     16.86,     18.54,     20.70,    282.13,    375.26,    409.32
195612,     17.16,     18.67,     20.02,    278.39,    418.32,    348.66
195701,     17.59,     19.91,     20.54,    295.23,    384.27,    442.28
195702,     17.60,     20.24,     21.16,    277.70,    398.11,    388.51
195703,     16.27,     19.78,     20.91,    407.76,    335.39,    360.95
195704,     16.95,     20.61,     19.85,    436.64,    417.84,    245.50
195705,     16.51,     20.84,     21.13,    416.23,    414.32,    328.73
195706,     16.51,     21.58,     20.92,    363.13,    455.27,    352.52
195707,     17.20,     20.44,     20.90,    384.72,    387.53,    418.77
195708,     18.78,     19.51,     20.29,    294.25,    418.44,    468.10
195709,     17.55,     19.63,     18.05,    260.80,    392.05,    457.06
195710,     16.23,     17.58,     18.28,    211.45,    387.92,    420.74
195711,     14.98,     15.94,     16.90,    203.03,    365.50,    417.18
195712,     14.94,     16.31,     16.82,    189.02,    387.63,    414.41
195801,     13.94,     15.67,     15.95,    198.32,    434.01,    323.79
195802,     15.57,     17.91,     16.72,    157.85,    378.98,    433.92
195803,     14.50,     17.79,     17.13,    199.15,    440.80,    336.63
195804,     16.19,     17.88,     17.97,    224.59,    505.70,    298.02
195805,     16.20,     17.77,     19.07,    246.95,    532.57,    275.85
195806,     17.79,     18.24,     18.93,    264.21,    546.25,    265.65
195807,     17.99,     19.14,     19.72,    371.23,    536.50,    247.67
195808,     19.50,     19.40,     21.91,    365.31,    564.14,    246.73
195809,     19.21,     20.62,     22.61,    498.19,    504.32,    236.02
195810,     20.42,     20.84,     23.87,    538.24,    487.81,    261.84
195811,     21.03,     22.72,     23.39,    603.17,    465.50,    248.28
195812,     21.33,     23.95,     24.36,    702.69,    410.25,    247.98
195901,     22.38,     25.40,     25.25,    678.79,    475.28,    256.03
195902,     22.92,     26.20,     28.53,    485.49,    573.64,    358.55
195903,     23.58,     27.37,     28.29,    530.84,    564.58,    336.67
195904,     25.40,     26.68,     28.50,    526.26,    572.48,    337.84
195905,     26.15,     27.41,     28.53,    558.07,    580.10,    351.75
195906,     26.83,     26.89,     28.67,    464.58,    633.84,    423.41
195907,     24.57,     27.00,     29.87,    454.10,    598.70,    475.71
195908,     25.13,     27.47,     30.93,    470.55,    645.22,    451.03
195909,     24.97,     27.56,     28.69,    412.29,    663.49,    433.50
195910,     22.11,     27.85,     27.49,    423.67,    530.47,    520.43
195911,     22.01,     27.26,     29.34,    435.12,    487.00,    601.09
195912,     22.75,     27.56,     29.00,    458.57,    484.93,    590.36
196001,     23.04,     28.52,     30.75,    441.83,    579.35,    555.06
196002,     22.25,     27.98,     29.49,    397.63,    491.15,    579.29
196003,     24.61,     26.88,     28.64,    307.31,    630.18,    500.89
196004,     22.58,     26.42,     29.12,    341.84,    514.52,    582.83
196005,     21.59,     26.45,     29.18,    399.94,    451.27,    599.13
196006,     22.03,     26.71,     29.54,    484.67,    445.94,    580.16
196007,     21.04,     28.27,     29.87,    408.74,    466.10,    629.99
196008,     22.27,     25.63,     30.13,    597.14,    336.58,    612.28
196009,     22.60,     26.96,     31.15,    612.58,    339.83,    629.88
196010,     20.65,     25.71,     27.93,    575.64,    364.04,    534.78
196011,     20.63,     24.74,     27.15,    393.42,    484.37,    520.55
196012,     22.31,     24.51,     28.77,    369.12,    527.75,    533.24
196101,     22.89,     25.66,     32.24,    550.88,    481.77,    554.48
196102,     25.03,     28.18,     35.38,    409.06,    542.20,    630.20
196103,     27.25,     28.76,     39.76,    477.06,    536.28,    655.01
196104,     26.79,     32.30,     40.76,    577.91,    538.45,    649.00
196105,     25.71,     35.37,     38.25,    742.72,    473.50,    667.94
196106,     28.43,     36.82,     37.04,    708.71,    468.10,    700.66
196107,     26.65,     34.20,     35.20,    673.30,    481.49,    659.94
196108,     28.19,     33.31,     36.52,    623.91,    526.43,    707.39
196109,     27.43,     34.22,     38.01,    601.07,    543.81,    730.84
196110,     26.88,     34.41,     34.55,    715.87,    601.84,    551.12
196111,     26.60,     33.46,     36.43,    665.22,    655.04,    557.95
196112,     29.61,     34.78,     35.70,    591.37,    770.57,    556.33
196201,     31.08,     34.11,     35.90,    572.57,    710.38,    641.89
196202,     31.22,     34.80,     34.57,    480.05,    669.38,    665.62
196203,     33.09,     36.00,     32.43,    469.09,    708.36,    690.59
196204,     32.18,     34.02,     34.80,    436.90,    643.64,    767.67
196205,     29.22,     33.05,     31.04,    380.29,    613.35,    698.64
196206,     27.07,     28.67,     27.09,    324.08,    576.09,    621.29
196207,     23.24,     27.81,     24.45,    271.26,    417.38,    724.66
196208,     26.96,     28.71,     26.62,    416.28,    525.24,    609.72
196209,     27.60,     29.32,     27.19,    365.43,    521.72,    704.03
196210,     25.81,     27.50,     24.44,    405.98,    474.24,    654.73
196211,     25.85,     25.13,     24.08,    404.66,    500.58,    597.76
196212,     29.65,     28.57,     27.02,    408.76,    546.93,    679.59
196301,     28.23,     27.44,     28.14,    384.04,    558.85,    700.15
196302,     29.75,     31.02,     30.38,    403.82,    546.94,    728.54
196303,     29.92,     29.94,     29.42,    410.06,    561.81,    681.18
196304,     28.37,     31.57,     30.09,    401.44,    623.21,    682.14
196305,     30.03,     32.86,     30.32,    331.56,    670.63,    720.98
196306,     30.22,     34.99,     32.24,    332.55,    699.53,    722.98
196307,     29.63,     34.66,     31.82,    295.12,    622.46,    832.82
196308,     16.16,     23.62,     24.55,    304.84,    632.37,    730.05
196309,     16.36,     26.24,     25.69,    286.75,    731.49,    676.18
196310,     15.82,     25.33,     27.10,    261.22,    733.34,    674.97
196311,     15.70,     25.35,     25.34,    298.99,    818.76,    588.93
196312,     15.77,     24.62,     24.08,    307.45,    703.61,    711.04
196401,     15.50,     24.19,     23.38,    325.53,    769.58,    685.45
196402,     15.18,     25.33,     26.23,    288.06,    594.13,    965.89
196403,     16.20,     24.79,     26.08,    234.30,    484.25,   1212.71
196404,     16.59,     25.37,     26.49,    300.86,    692.65,    908.61
196405,     16.29,     25.57,     25.00,    347.69,    805.65,    783.51
196406,     17.16,     25.81,     24.58,    297.64,    592.51,   1083.40
196407,     16.80,     26.02,     26.00,    324.63,    668.39,    973.90
196408,     17.35,     25.05,     28.38,    356.37,    638.23,   1030.07
196409,     17.36,     25.27,     26.03,    354.24,    727.77,    898.79
196410,     17.50,     27.07,     27.80,    386.90,    789.49,    867.29
196411,     18.36,     27.16,     26.90,    378.44,    904.64,    719.48
196412,     17.79,     26.57,     26.22,    656.96,    699.80,    780.69
196501,     17.97,     27.28,     23.94,    755.34,    772.46,    603.79
196502,     18.54,     28.36,     27.18,    830.65,    695.93,    746.86
196503,     19.79,     28.88,     27.35,    826.71,    760.55,    665.80
196504,     20.68,     28.21,     26.95,   1014.43,    637.01,    664.21
196505,     21.27,     29.63,     27.86,   1124.53,    797.67,    400.74
196506,     21.08,     28.66,     27.78,   1101.10,    770.91,    370.50
196507,     19.38,     27.62,     22.93,   1012.09,    723.43,    374.28
196508,     20.39,     26.35,     24.66,    832.79,    761.65,    545.04
196509,     20.84,     27.43,     25.73,    842.87,    792.13,    546.74
196510,     20.09,     29.12,     27.76,    947.14,    797.05,    502.80
196511,     21.73,     29.41,     30.08,    735.48,    914.19,    617.10
196512,     23.17,     29.64,     30.31,    957.34,    765.57,    603.85
196601,     25.45,     30.90,     30.46,   1030.98,    821.26,    478.77
196602,     26.08,     32.45,     32.24,   1008.99,    857.69,    464.48
196603,     27.72,     32.94,     32.19,    932.26,    841.89,    500.36
196604,     28.52,     31.54,     30.51,    911.06,    819.60,    491.19
196605,     29.41,     34.43,     30.75,    998.65,    754.51,    547.81
196606,     27.91,     29.57,     28.04,    901.48,    749.87,    497.88
196607,     28.50,     28.93,     27.35,   1043.77,    622.23,    474.30
196608,     26.39,     29.23,     27.23,    993.85,    622.32,    501.13
196609,     23.88,     26.53,     23.36,    871.99,    602.59,    474.20
196610,     23.80,     27.05,     21.76,    923.39,    584.16,    457.74
196611,     22.63,     27.01,     21.84,    683.45,    768.55,    559.41
196612,     20.47,     29.93,     24.83,    575.07,    703.26,    744.40
196701,     21.13,     29.76,     26.27,    627.34,    676.50,    750.92
196702,     24.05,     34.33,     33.66,    693.60,    651.74,    865.91
196703,     23.76,     35.01,     36.86,    846.92,    679.34,    771.67
196704,     25.91,     36.88,     36.58,    856.42,    765.66,    755.81
196705,     26.27,     39.90,     38.52,    939.13,    788.58,    776.68
196706,     27.72,     35.93,     35.71,    675.55,    928.72,    661.08
196707,     29.17,     39.58,     36.53,    754.52,    948.32,    625.73
196708,     32.90,     40.66,     38.92,   1014.78,    840.56,    634.56
196709,     35.32,     40.73,     37.13,   1091.70,    749.86,    606.47
196710,     39.15,     41.48,     38.77,   1230.13,    701.39,    618.76
196711,     42.66,     40.47,     35.45,   1135.88,    654.62,    628.36
196712,     43.87,     42.49,     34.11,    992.75,    770.14,    633.43
196801,     51.12,     44.15,     38.59,    977.45,    892.82,    683.27
196802,     50.33,     44.15,     39.85,    766.31,   1047.58,    634.13
196803,     46.47,     44.54,     36.14,    881.68,    862.70,    606.86
196804,     44.70,     44.33,     35.45,    818.16,    912.58,    629.77
196805,     48.12,     48.87,     41.53,    900.58,    955.57,    716.83
196806,     52.47,     50.68,     46.62,    774.09,   1091.41,    727.17
196807,     54.12,     55.45,     44.44,    821.55,   1098.20,    741.93
196808,     50.53,     51.73,     43.57,    919.85,    984.95,    674.61
196809,     51.41,     52.34,     46.54,    797.77,    997.67,    845.45
196810,     51.62,     59.09,     48.57,    854.31,   1180.23,    510.58
196811,     50.65,     58.41,     50.28,    978.63,   1143.35,    511.51
196812,     52.28,     63.99,     54.59,   1068.83,   1158.13,    557.17
196901,     52.61,     63.67,     58.67,   1238.00,    980.23,    580.71
196902,     52.79,     62.10,     58.48,   1447.85,    867.51,    555.04
196903,     48.31,     59.46,     51.43,   1405.69,    793.12,    522.09
196904,     48.41,     58.78,     53.07,   1261.44,    958.09,    538.21
196905,     46.92,     60.22,     53.52,   1032.78,   1094.01,    704.79
196906,     44.36,     56.50,     59.11,    946.98,    930.64,   1003.47
196907,     39.20,     51.54,     50.67,    779.77,    944.47,    920.99
196908,     34.65,     46.99,     48.26,    439.63,   1003.43,    860.52
196909,     35.24,     48.32,     58.07,    415.03,   1022.85,    938.98
196910,     32.73,     49.13,     57.25,    358.29,    780.09,   1156.56
196911,     35.88,     52.78,     60.74,    519.82,    809.25,   1137.05
196912,     34.95,     47.34,     54.83,    578.39,    798.32,   1028.48
197001,     29.36,     51.72,     58.08,    453.65,    710.10,   1145.67
197002,     27.75,     50.32,     57.62,    369.80,    669.72,   1033.74
197003,     30.02,     47.05,     56.74,    594.01,    730.63,   1022.87
197004,     29.09,     46.75,     55.68,    807.75,    661.40,    989.89
197005,     24.10,     37.51,     49.76,    632.53,    551.19,    992.60
197006,     21.60,     35.20,     47.30,    474.73,    555.72,    927.48
197007,     19.23,     32.68,     44.18,    316.83,    672.28,    795.60
197008,     21.20,     32.34,     42.80,    328.36,    844.27,    746.27
197009,     21.85,     36.13,     48.11,    350.81,    753.66,    900.41
197010,     25.40,     38.40,     49.24,    362.00,    738.06,    960.01
197011,     23.18,     36.85,     46.50,    365.50,    726.68,    933.80
197012,     23.49,     36.73,     45.81,    372.65,    804.33,    936.54
197101,     25.56,     40.63,     53.18,    369.33,    910.74,    994.65
197102,     27.88,     49.79,     59.48,    477.55,    953.41,    981.06
197103,     29.30,     47.73,     54.33,    517.69,   1026.41,    949.04
197104,     32.13,     48.48,     52.36,    529.78,   1149.41,    903.58
197105,     34.64,     44.64,     50.78,    870.24,   1124.85,    792.73
197106,     30.91,     42.20,     48.24,    815.20,   1229.56,    606.27
197107,     30.02,     42.32,     47.32,    935.27,   1216.09,    554.88
197108,     27.72,     40.08,     44.20,    896.20,   1062.45,    634.91
197109,     27.57,     43.96,     45.60,    910.75,   1135.96,    663.58
197110,     27.29,     43.26,     50.15,    961.75,   1051.87,    716.12
197111,     27.22,     40.37,     41.89,   1131.88,    957.46,    611.03
197112,     28.68,     36.58,     37.42,   1093.58,    922.85,    654.24
197201,     31.71,     44.16,     43.41,    799.70,   1017.33,    993.10
197202,     31.85,     49.98,     51.83,    765.19,   1007.71,   1024.22
197203,     32.62,     50.71,     50.51,    806.02,   1082.66,    994.97
197204,     33.54,     48.86,     48.99,    550.48,   1231.34,    990.61
197205,     34.15,     50.35,     47.91,    744.80,   1112.43,   1029.54
197206,     32.62,     48.07,     46.22,    734.21,   1155.30,   1027.72
197207,     32.58,     44.67,     44.71,    558.35,   1039.53,   1225.99
197208,     32.55,     40.09,     43.33,    617.88,    955.43,   1245.55
197209,     33.12,     41.61,     42.93,    603.99,   1007.75,   1287.06
197210,     30.36,     43.13,     41.83,    472.92,   1081.05,   1241.35
197211,     30.24,     39.47,     42.20,    429.76,   1084.99,   1269.31
197212,     31.45,     40.92,     45.66,    669.91,    972.68,   1371.65
197301,     31.09,     43.01,     46.45,    436.50,   1082.21,   1399.32
197302,     26.98,     43.98,     51.32,    372.19,    833.77,   1493.57
197303,     24.80,     39.02,     45.09,    344.42,    701.81,   1594.28
197304,     24.36,     37.42,     43.68,    312.76,    667.99,   1603.67
197305,     23.00,     33.16,     41.36,    290.43,    636.43,   1487.32
197306,     21.43,     28.59,     38.07,    315.46,    599.27,   1510.87
197307,     20.14,     27.65,     38.49,    228.61,    603.81,   1479.82
197308,     22.96,     30.46,     40.57,    247.68,    616.43,   1564.55
197309,     21.76,     28.42,     36.72,    273.70,    589.87,   1532.54
197310,     23.46,     30.48,     41.57,    310.89,    860.57,   1379.77
197311,     21.72,     33.38,     40.45,    332.43,   1063.82,   1145.21
197312,     18.31,     25.02,     29.06,    314.62,    725.68,   1224.02
197401,     13.46,     19.31,     23.39,    286.90,    593.01,   1082.01
197402,     14.13,     24.01,     27.51,    343.26,    726.76,    938.81
